OMNIWeb Plus Browser Results

Listing for omni_min data from 20140218 to 20140223
Selected parameters:
 1 ID for IMF spacecraft
 2 Field magnitude average, nT
 3 BZ, nT (GSM)
 4 Speed, km/s
 5 Proton Density, n/cc
 6 Proton Temperature, K
 7 Flow pressure, nPa

YYYY DOY HR MN  1      2       3       4      5        6     7 
2014  49  1 51 71    4.39    1.54 99999.9 999.99 9999999. 99.99
2014  49  1 52 71    4.37    1.94 99999.9 999.99 9999999. 99.99
2014  49  1 53 71    4.38    1.83 99999.9 999.99 9999999. 99.99
2014  49  1 54 71    4.43    1.66 99999.9 999.99 9999999. 99.99
2014  49  1 55 71    4.35    2.11 99999.9 999.99 9999999. 99.99
2014  49  1 56 71    4.39    2.90 99999.9 999.99 9999999. 99.99
2014  49  1 57 71    4.42    2.69 99999.9 999.99 9999999. 99.99
2014  49  1 58 71    4.38    2.41 99999.9 999.99 9999999. 99.99
2014  49  1 59 71    4.38    1.57 99999.9 999.99 9999999. 99.99
2014  49  2  0 71    4.40    0.66   364.8   1.98   58970.  0.53
2014  49  2  1 71    4.36   -0.37   364.8   1.98   58970.  0.53
2014  49  2  2 71    4.32    2.37   372.9   1.97   62510.  0.55
2014  49  2  3 71    4.32    2.00   372.9   1.97   62510.  0.55
2014  49  2  4 71    4.41    0.07   361.7   2.11   56385.  0.55
2014  49  2  5 71    4.54   -0.83   361.7   2.11   56385.  0.55
2014  49  2  6 71    4.78   -1.10   366.3   2.26   67105.  0.61
2014  49  2  7 71    4.34    0.01   366.9   2.28   54916.  0.61
2014  49  2  8 71    4.37   -0.50   368.4   2.51   48822.  0.68
2014  49  2  9 71    4.54   -0.86   358.5   2.50   69581.  0.64
2014  49  2 10 71    4.39   -1.02   367.0   2.26   55045.  0.61
2014  49  2 11 71    4.33   -1.00   370.8   2.15   48736.  0.59
2014  49  2 12 71    4.29   -1.79   368.1   2.80   52121.  0.76
2014  49  2 13 71    4.23   -1.20   368.0   2.78   52035.  0.75
2014  49  2 14 71    4.28   -0.92   365.9   2.29   49592.  0.61
2014  49  2 15 71    4.35   -0.55 99999.9 999.99 9999999. 99.99
2014  49  2 16 71    4.30   -0.86 99999.9 999.99 9999999. 99.99
2014  49  2 17 71    4.24    0.99 99999.9 999.99 9999999. 99.99
2014  49  2 18 71    4.25    1.29   363.8   2.02   59690.  0.53
2014  49  2 19 71    4.30    1.50   363.8   2.02   59690.  0.53
2014  49  2 20 71    4.29    1.34 99999.9 999.99 9999999. 99.99
2014  49  2 21 71    4.30    0.88 99999.9 999.99 9999999. 99.99
2014  49  2 22 71    4.28    1.01   363.9   2.06   57206.  0.55
2014  49  2 23 71    4.28    1.26   363.9   2.06   57206.  0.55
2014  49  2 24 71    4.31    1.61 99999.9 999.99 9999999. 99.99
2014  49  2 25 71    4.33    1.65 99999.9 999.99 9999999. 99.99
2014  49  2 26 71    4.33    1.65   363.6   2.11   59795.  0.56
2014  49  2 27 71    4.24    0.54   363.6   2.11   59795.  0.56
2014  49  2 28 71    4.41    0.25   363.6   2.11   59795.  0.56
2014  49  2 29 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  2 30 71    4.39    1.16 99999.9 999.99 9999999. 99.99
2014  49  2 31 71    4.30    1.65   364.1   2.07   52323.  0.55
2014  49  2 32 71    4.32    1.49   362.6   2.21   57118.  0.58
2014  49  2 33 71    4.30    0.99 99999.9 999.99 9999999. 99.99
2014  49  2 34 71    4.30    0.97 99999.9 999.99 9999999. 99.99
2014  49  2 35 71    4.39    1.12   360.4   2.08   63636.  0.54
2014  49  2 36 71    4.35    1.14   360.4   2.08   63636.  0.54
2014  49  2 37 71    4.65    0.94 99999.9 999.99 9999999. 99.99
2014  49  2 38 71    4.63    1.20 99999.9 999.99 9999999. 99.99
2014  49  2 39 71    4.32    1.55 99999.9 999.99 9999999. 99.99
2014  49  2 40 71    4.32    1.55 99999.9 999.99 9999999. 99.99
2014  49  2 41 71    4.26    0.98   366.1   2.10   40326.  0.56
2014  49  2 42 71    4.27    0.91   368.4   2.28   42186.  0.62
2014  49  2 43 71    4.28    1.02   367.9   2.28   39009.  0.62
2014  49  2 44 71    4.28    1.23   367.5   2.38   35272.  0.64
2014  49  2 45 71    4.25    0.71   363.5   2.10   45977.  0.55
2014  49  2 46 71    4.27    1.22   364.5   2.09   39643.  0.56
2014  49  2 47 71    4.25    1.39   366.2   2.23   38905.  0.60
2014  49  2 48 71    4.29    1.34   363.8   2.04   35105.  0.54
2014  49  2 49 71    4.32    1.42   363.4   2.02   39950.  0.53
2014  49  2 50 71    4.33    1.11   362.7   2.13   32447.  0.56
2014  49  2 51 71    4.36    1.07   364.8   1.93   43860.  0.51
2014  49  2 52 71    4.36    1.39   364.6   2.00   39657.  0.53
2014  49  2 53 71    4.36    0.88   364.8   2.24   38434.  0.60
2014  49  2 54 71    4.37    1.53   368.2   2.25   32860.  0.61
2014  49  2 55 71    4.35    1.35   366.5   2.15   36590.  0.58
2014  49  2 56 71    4.30    1.32   366.5   2.15   36590.  0.58
2014  49  2 57 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  2 58 71    4.28    1.27 99999.9 999.99 9999999. 99.99
2014  49  2 59 71    4.33    2.05   367.0   1.90   45684.  0.51
2014  49  3  0 51    4.19    0.99   362.1   2.25   57233.  0.59
2014  49  3  1 51    4.03    0.61   366.0   2.24   54659.  0.60
2014  49  3  2 51    3.95    0.53   366.4   2.19   52879.  0.59
2014  49  3  3 51    4.02    0.76   360.2   1.92   50588.  0.50
2014  49  3  4 51    3.99    0.71   356.2   1.99   47093.  0.50
2014  49  3  5 51    4.04    0.77   355.0   2.01   46053.  0.51
2014  49  3  6 51    4.04    0.98   364.6   2.24   48112.  0.60
2014  49  3  7 51    4.10    1.40   365.1   2.25   48271.  0.60
2014  49  3  8 51    3.96    1.20   358.5   2.14   52168.  0.55
2014  49  3  9 51    3.98    0.33   358.5   2.20   49487.  0.57
2014  49  3 10 51    3.97    0.78   359.1   2.29   55284.  0.59
2014  49  3 11 51    3.96    0.96 99999.9 999.99 9999999. 99.99
2014  49  3 12 51    3.89    0.80   355.1   2.02   57420.  0.51
2014  49  3 13 51    3.92    0.56   358.4   2.15   60344.  0.55
